"RelativePath","FileName","SizeBytes","LastWriteTimeUtc","Algorithm","SHA256"
"responses_v8\main\gpt-4.1-mini__stochastic__baseline__r2.jsonl","gpt-4.1-mini__stochastic__baseline__r2.jsonl","2664399","2026-08-28T20:36:29.4350922Z","SHA256","482756F88FB879D53B88EDD1E7E16B97C9AD2CB88F072EA134687FF9F68F9A06"
"responses_v8\main\gpt-4.1-mini__stochastic__baseline__r3.jsonl","gpt-4.1-mini__stochastic__baseline__r3.jsonl","2664973","2026-08-28T21:58:32.7145143Z","SHA256","0C3379B8E8AB96AD6092E55CD10FC362B96C309198839667FE21923A5158263A"
"responses_v8\main\gpt-4.1-mini__stochastic__safety__r1.jsonl","gpt-4.1-mini__stochastic__safety__r1.jsonl","2693171","2026-08-29T00:15:50.3555950Z","SHA256","2237BA5CC6BFD4CBE7FA5E757741517CDFBB40A8BCCE3026F95A8EB170D728DB"
"responses_v8\main\gpt-4.1-mini__stochastic__safety__r2.jsonl","gpt-4.1-mini__stochastic__safety__r2.jsonl","2690614","2026-08-29T01:36:13.1943572Z","SHA256","7C6CDB914476E42C4E913CF8C0B6EF46F42DFC76878F4CB9EB202475BBFA7138"
"responses_v8\main\gpt-4.1-mini__stochastic__safety__r3.jsonl","gpt-4.1-mini__stochastic__safety__r3.jsonl","2691085","2026-08-29T02:53:07.0861661Z","SHA256","9A59761C2FFEE89A3A6714D02052284C7AB3901BF45AA21BE6BAFBDD5DF5CCBB"
"responses_v8\main\llama3.1_8b__primary__baseline__r1.jsonl","llama3.1_8b__primary__baseline__r1.jsonl","3673911","2026-08-27T15:06:47.6233420Z","SHA256","ABF0272DDAC700BF1F53FA2BDD088340F05D212F552AEB64AB825A2969E40892"
"responses_v8\main\llama3.1_8b__primary__safety__r1.jsonl","llama3.1_8b__primary__safety__r1.jsonl","3791720","2026-08-27T16:06:55.3090551Z","SHA256","B66E1F51E8A96DC419A0A6A107FF2448661187F50E31F494E8B7E0A5705C7118"
"responses_v8\main\llama3.1_8b__stochastic__baseline__r1.jsonl","llama3.1_8b__stochastic__baseline__r1.jsonl","2322998","2026-08-28T13:51:48.6119312Z","SHA256","0974B7DFE2DDEB1DB8CBBEF4B64146D0FBAC3782F033E782F6DBC8904A2AFBDB"
"responses_v8\main\llama3.1_8b__stochastic__baseline__r2.jsonl","llama3.1_8b__stochastic__baseline__r2.jsonl","2311187","2026-08-28T14:35:26.3942689Z","SHA256","5F4DE2B35F8DC823887DF71CC202B20210A87A47158C310B1E969F05E3F4AD27"
"responses_v8\main\llama3.1_8b__stochastic__baseline__r3.jsonl","llama3.1_8b__stochastic__baseline__r3.jsonl","2325251","2026-08-28T15:19:58.0825718Z","SHA256","D080132B170423376BCE5CF6FE7585096F30F1B56DA7B72AC422E66279F7929A"
"responses_v8\main\llama3.1_8b__stochastic__safety__r1.jsonl","llama3.1_8b__stochastic__safety__r1.jsonl","2414609","2026-08-28T16:07:50.1876279Z","SHA256","D7097F0D92A2DADF8988835E9F0781A77A4D72AA15103151640B32DD75E30DF2"
"responses_v8\main\llama3.1_8b__stochastic__safety__r2.jsonl","llama3.1_8b__stochastic__safety__r2.jsonl","2421415","2026-08-28T16:55:51.4988515Z","SHA256","BC4689302449541A228A850D997F93661B3897D60A38EBEFD9DCEAC11EC9776A"
"responses_v8\main\llama3.1_8b__stochastic__safety__r3.jsonl","llama3.1_8b__stochastic__safety__r3.jsonl","2425544","2026-08-28T17:44:17.9185440Z","SHA256","B6C65882358A9E1884F105655DF57CB42AAD85835822C057048EC04CAFEB5D7F"
"responses_v8\main\qwen2.5_7b-instruct__primary__baseline__r1.jsonl","qwen2.5_7b-instruct__primary__baseline__r1.jsonl","3801646","2026-08-27T13:06:21.0594819Z","SHA256","8D6A41B66583BC9BB9B127155811C5FA35F2FE42DAE24427AD99594A91684B49"
"responses_v8\main\qwen2.5_7b-instruct__primary__safety__r1.jsonl","qwen2.5_7b-instruct__primary__safety__r1.jsonl","4050180","2026-08-27T14:11:09.9080084Z","SHA256","C30F639B2E7FC12AA59F9BD08E99A38592013A0529EA2F51F41A49E5E9A8E734"
"responses_v8\main\qwen2.5_7b-instruct__stochastic__baseline__r1.jsonl","qwen2.5_7b-instruct__stochastic__baseline__r1.jsonl","2397297","2026-08-28T09:05:04.9244486Z","SHA256","D036BDB693B5108B383247C6B6C632ECD373ED22365764DE440F1279B91103A3"
"responses_v8\main\qwen2.5_7b-instruct__stochastic__baseline__r2.jsonl","qwen2.5_7b-instruct__stochastic__baseline__r2.jsonl","2396423","2026-08-28T09:46:29.0756464Z","SHA256","20F75C3D06BE8B119E4DF00FF851599315FF367695B432BC9FBAC24595D69D58"
"responses_v8\main\qwen2.5_7b-instruct__stochastic__baseline__r3.jsonl","qwen2.5_7b-instruct__stochastic__baseline__r3.jsonl","2395877","2026-08-28T10:27:50.1228688Z","SHA256","627028401757E284AE7C328FB6E1055433A487507AF24D128EB9F7A4B290BC82"
"responses_v8\main\qwen2.5_7b-instruct__stochastic__safety__r1.jsonl","qwen2.5_7b-instruct__stochastic__safety__r1.jsonl","2646627","2026-08-28T11:21:03.3121530Z","SHA256","05EBFCDADEA2AA2FB53DD59BA215649758F514E972BB74C584852184AAE9F3B1"
"responses_v8\main\qwen2.5_7b-instruct__stochastic__safety__r2.jsonl","qwen2.5_7b-instruct__stochastic__safety__r2.jsonl","2649806","2026-08-28T12:14:20.3270937Z","SHA256","99A2EB135B3195EAF11123F44CF85EF402D75B42A5530F018BD7C81FCD01E38C"
"responses_v8\main\qwen2.5_7b-instruct__stochastic__safety__r3.jsonl","qwen2.5_7b-instruct__stochastic__safety__r3.jsonl","2648928","2026-08-28T13:07:35.8761970Z","SHA256","59A04A91EE0125416BA37F6E546005C7054452DCC1CD55A7FDC26C164682F487"
"salrm\config.json","config.json","2630","2026-08-27T11:24:12.7926394Z","SHA256","67A90447EC5E2073AF35676A8B35522762242EF1ADD4738F03D9D47CCEC88659"
"salrm\salrm_pipeline.py","salrm_pipeline.py","57332","2026-08-30T16:05:05.1781474Z","SHA256","8AE76CA88EE8AF6059B1489E50429EBC876E9BE19DDB2DF74996523F5FEFC764"
"samples\sampled.jsonl","sampled.jsonl","5084034","2026-08-27T11:52:44.7506231Z","SHA256","08C79C6920ED0B2C361F8D8C638B37BB6F4CD0A63A82B43016AC5D2ECF04D259"
"samples\sampling_manifest.json","sampling_manifest.json","5337","2026-08-27T11:52:44.7890048Z","SHA256","F32D3C45A6E070FEE864474F9D81D159F1DF147A6461DA3AD4FBB4BEED39EE24"
